Scan started at 15:02:45 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
1.57251	-367.614	557.011	-23.4801	31.0061	0.272757	0.387457	0.0196101	
1.5775	-367.539	556.856	-23.6947	31.104	0.293647	0.422765	0.0196836	
1.58249	-367.785	557.024	-23.4374	31.2018	0.28009	0.400164	0.0193848	
1.58748	-367.862	557.173	-23.2268	31.2996	0.283771	0.406144	0.0197878	
1.59247	-367.626	556.997	-23.4932	31.3974	0.286997	0.412119	0.0193283	
1.59747	-367.556	556.855	-23.7098	31.4952	0.273242	0.389354	0.0195241	
1.60246	-367.799	557.032	-23.4438	31.593	0.293462	0.423391	0.0193507	
1.60745	-367.865	557.176	-23.222	31.6908	0.263038	0.372604	0.0191449	
1.61244	-367.618	557.002	-23.483	31.7886	0.299657	0.433632	0.0192688	
1.61743	-367.545	556.852	-23.7007	31.8864	0.252944	0.355913	0.0191447	
1.62243	-367.786	557.025	-23.4446	31.9843	0.304963	0.443043	0.0191809	
1.62742	-367.857	557.172	-23.225	32.0821	0.243438	0.339802	0.0189245	
1.63241	-367.614	557.001	-23.4801	32.1799	0.309647	0.450865	0.0190288	
